nama,ips-now,ips-next
Taruna-8100,3.68,3.78
Taruna-8101,3.94,3.71
Taruna-8102,3.59,3.58
Taruna-8103,3.64,3.51
Taruna-8104,3.45,3.63
Taruna-8105,3.66,3.54
Taruna-8106,3.35,3.71
Taruna-8107,3.68,3.64
Taruna-8108,3.39,3.77
Taruna-8109,3.53,3.82
Taruna-8110,3.41,3.65
Taruna-8111,3.64,3.78
Taruna-8112,3.54,3.68
Taruna-8113,3.33,3.88
Taruna-8114,3.77,3.95
Taruna-8115,3.4,3.54
Taruna-8116,3.36,3.61
Taruna-8117,3.81,3.92
Taruna-8118,3.55,3.93
Taruna-8119,3.2,3.98
Taruna-8120,3.37,3.65
Taruna-8121,3.72,3.54
Taruna-8122,3.59,3.56
Taruna-8123,3.99,3.53
Taruna-8124,3.43,3.62
Taruna-8125,3.97,3.94
Taruna-8126,3.32,3.97
Taruna-8127,3.94,3.68
Taruna-8128,3.32,3.9
Taruna-8129,3.43,3.69
Taruna-8130,3.83,3.5
Taruna-8131,3.71,3.66
Taruna-8132,3.83,3.71
Taruna-8133,3.98,3.79
Taruna-8134,3.87,3.78
Taruna-8135,3.21,3.84
Taruna-8136,3.64,3.5
Taruna-8137,3.91,3.68
Taruna-8138,3.65,3.5
Taruna-8139,3.63,3.86
Taruna-8140,3.71,3.85
Taruna-8141,3.42,3.69
Taruna-8142,3.53,3.91
Taruna-8143,3.82,4.0
Taruna-8144,3.8,3.82
Taruna-8145,3.82,3.97
Taruna-8146,3.48,3.59
Taruna-8147,3.35,3.51
Taruna-8148,3.56,3.5
Taruna-8149,3.55,3.59
Taruna-8150,3.38,3.94
Taruna-8151,3.75,3.86
Taruna-8152,3.66,3.68
Taruna-8153,3.24,3.66
Taruna-8154,3.7,3.89
Taruna-8155,3.69,3.95
Taruna-8156,3.67,3.6
Taruna-8157,3.99,3.53
Taruna-8158,3.6,3.82
Taruna-8159,3.5,3.77
Taruna-8160,3.29,3.86
Taruna-8161,3.27,3.89
Taruna-8162,3.35,3.96
Taruna-8163,3.93,3.72
Taruna-8164,3.9,3.59
Taruna-8165,3.26,3.67
Taruna-8166,3.55,3.99
Taruna-8167,3.71,3.62
Taruna-8168,3.88,3.69
Taruna-8169,3.27,3.98
Taruna-8170,3.89,3.7
Taruna-8171,3.88,3.63
Taruna-8172,3.7,3.81
Taruna-8173,3.57,3.76
Taruna-8174,3.32,3.73
Taruna-8175,3.67,3.59
Taruna-8176,3.54,3.79
Taruna-8177,3.63,3.76
Taruna-8178,3.39,3.61
Taruna-8179,3.21,3.84
Taruna-8180,3.7,3.71
Taruna-8181,3.93,3.51
Taruna-8182,3.76,3.66
Taruna-8183,3.71,3.64
Taruna-8184,3.98,3.67
Taruna-8185,3.62,3.65
Taruna-8186,3.91,3.64
Taruna-8187,3.69,3.72
Taruna-8188,3.91,3.93
Taruna-8189,3.52,3.81
Taruna-8190,3.37,3.68
Taruna-8191,3.92,3.53
Taruna-8192,3.39,3.6
Taruna-8193,3.36,3.67
Taruna-8194,3.7,3.58
Taruna-8195,3.98,3.91
Taruna-8196,3.42,3.76
Taruna-8197,3.59,3.63
Taruna-8198,3.62,3.68
Taruna-8199,3.63,3.81
Taruna-8200,3.76,3.54
Taruna-8201,3.57,3.56
Taruna-8202,3.71,3.74
Taruna-8203,3.33,3.5
Taruna-8204,3.95,3.68
Taruna-8205,3.46,3.7
Taruna-8206,3.72,3.93
Taruna-8207,3.49,3.58
Taruna-8208,3.42,3.95
Taruna-8209,3.56,3.88
Taruna-8210,3.71,3.51
Taruna-8211,3.27,3.71
Taruna-8212,3.57,3.61
Taruna-8213,3.43,3.93
Taruna-8214,3.47,3.98
Taruna-8215,3.37,3.63
Taruna-8216,3.85,3.92
Taruna-8217,3.86,3.69
Taruna-8218,3.22,3.69
Taruna-8219,3.61,3.66
Taruna-8220,3.79,3.52
Taruna-8221,3.69,3.86
Taruna-8222,3.64,3.91
Taruna-8223,4.0,3.7
Taruna-8224,3.6,3.99
Taruna-8225,3.56,3.64
Taruna-8226,3.98,3.58
Taruna-8227,3.76,3.79
Taruna-8228,3.69,3.7
Taruna-8229,3.28,3.61
Taruna-8230,3.85,3.64
Taruna-8231,3.37,3.93
Taruna-8232,3.54,3.89
Taruna-8233,3.68,3.69
Taruna-8234,3.24,3.53
Taruna-8235,3.21,3.65
Taruna-8236,3.79,3.73
Taruna-8237,3.45,3.89
Taruna-8238,3.59,3.58
Taruna-8239,4.0,3.56
Taruna-8240,3.85,3.96
Taruna-8241,3.71,3.81
Taruna-8242,3.56,3.68
Taruna-8243,3.25,3.6
Taruna-8244,3.32,3.98
Taruna-8245,3.58,3.55
Taruna-8246,3.64,3.68
Taruna-8247,3.23,3.62
Taruna-8248,3.86,3.91
Taruna-8249,3.8,3.89
Taruna-8250,3.24,3.77
Taruna-8251,3.72,3.98
Taruna-8252,3.26,3.78
Taruna-8253,3.86,3.55
Taruna-8254,3.8,3.61
Taruna-8255,3.28,3.56
Taruna-8256,3.74,3.79
Taruna-8257,3.86,3.92
Taruna-8258,3.39,3.85
Taruna-8259,3.62,3.93
Taruna-8260,3.37,3.86
Taruna-8261,3.4,3.7
Taruna-8262,3.65,3.76
Taruna-8263,3.83,3.63
Taruna-8264,3.7,3.63
Taruna-8265,3.28,3.52
Taruna-8266,3.37,3.52
Taruna-8267,3.76,3.85
Taruna-8268,3.46,3.9
Taruna-8269,3.72,3.62
Taruna-8270,3.82,3.72
Taruna-8271,3.45,3.99
Taruna-8272,3.47,3.87
Taruna-8273,3.4,3.91
Taruna-8274,3.3,3.79
Taruna-8275,3.32,3.66
Taruna-8276,3.41,3.75
Taruna-8277,3.72,3.73
Taruna-8278,3.56,3.94
Taruna-8279,3.76,3.5
Taruna-8280,3.5,3.8
Taruna-8281,3.9,3.91
Taruna-8282,3.96,3.98
Taruna-8283,3.47,3.7
Taruna-8284,3.77,3.62
Taruna-8285,3.26,3.51
Taruna-8286,3.3,3.57
Taruna-8287,3.64,3.73
Taruna-8288,3.79,3.85
Taruna-8289,3.77,3.96
Taruna-8290,3.99,3.86
Taruna-8291,3.26,3.68
Taruna-8292,3.5,3.66
Taruna-8293,3.78,3.52
Taruna-8294,3.97,3.57
Taruna-8295,3.5,3.86
Taruna-8296,3.28,3.95
Taruna-8297,3.7,3.79
Taruna-8298,3.43,3.92
Taruna-8299,3.35,3.97
Taruna-8300,3.38,3.81
Taruna-8301,3.52,3.99
Taruna-8302,3.31,3.66
Taruna-8303,3.82,3.63
Taruna-8304,3.41,3.85
Taruna-8305,3.26,3.71
Taruna-8306,3.88,3.54
Taruna-8307,3.71,3.6
Taruna-8308,3.67,3.92
Taruna-8309,3.75,3.78
Taruna-8310,3.56,3.7
Taruna-8311,3.46,3.56
Taruna-8312,3.41,3.65
Taruna-8313,3.76,3.85
Taruna-8314,3.45,3.94
Taruna-8315,3.35,3.82
Taruna-8316,3.67,3.53
Taruna-8317,3.79,3.85
Taruna-8318,3.59,3.72
Taruna-8319,3.35,3.57
Taruna-8320,3.4,3.78
Taruna-8321,3.81,3.92
Taruna-8322,3.87,3.93
Taruna-8323,3.8,3.52
Taruna-8324,3.62,3.71
Taruna-8325,3.98,3.95
Taruna-8326,3.73,3.73
Taruna-8327,3.64,3.58
Taruna-8328,4.0,3.71
Taruna-8329,3.72,3.95
Taruna-8330,3.41,3.71
Taruna-8331,3.38,3.61
Taruna-8332,3.35,3.53
Taruna-8333,3.21,3.8
Taruna-8334,3.96,3.68
Taruna-8335,3.78,3.85
Taruna-8336,3.68,3.93
Taruna-8337,3.25,3.92
Taruna-8338,3.37,3.51
Taruna-8339,3.7,3.74
Taruna-8340,3.83,3.85
Taruna-8341,3.38,3.83
Taruna-8342,3.45,3.51
Taruna-8343,3.8,3.75
Taruna-8344,3.75,3.85
Taruna-8345,3.25,3.6
Taruna-8346,3.62,3.54
Taruna-8347,3.54,3.88
Taruna-8348,3.46,3.91
Taruna-8349,3.74,3.74
Taruna-8350,3.82,3.8
Taruna-8351,3.44,3.96
Taruna-8352,3.78,3.51
Taruna-8353,3.36,3.84
Taruna-8354,3.91,3.9
Taruna-8355,3.22,3.64
Taruna-8356,3.85,3.81
Taruna-8357,3.72,3.94
Taruna-8358,3.97,3.8
Taruna-8359,3.38,3.68
Taruna-8360,3.49,3.93
Taruna-8361,3.53,3.82
Taruna-8362,3.88,3.94
Taruna-8363,3.34,3.63
Taruna-8364,3.2,3.66
Taruna-8365,3.83,3.94
Taruna-8366,3.79,3.62
Taruna-8367,3.59,3.76
Taruna-8368,3.64,3.74
Taruna-8369,3.78,3.8
Taruna-8370,3.28,3.58
Taruna-8371,3.65,3.94
Taruna-8372,3.39,3.93
Taruna-8373,3.96,3.55
Taruna-8374,3.99,3.94
Taruna-8375,3.93,3.76
Taruna-8376,3.68,3.55
Taruna-8377,3.66,3.51
Taruna-8378,3.28,3.96
Taruna-8379,3.68,3.66
Taruna-8380,3.6,3.99
Taruna-8381,3.42,3.81
Taruna-8382,3.87,3.51
Taruna-8383,3.25,3.55
Taruna-8384,3.72,3.7
Taruna-8385,3.33,4.0
Taruna-8386,3.48,3.63
Taruna-8387,3.42,3.85
Taruna-8388,3.91,3.94
Taruna-8389,3.97,3.6
Taruna-8390,3.6,3.66
Taruna-8391,3.34,3.55
Taruna-8392,3.24,3.74
Taruna-8393,3.83,3.72
Taruna-8394,3.25,3.54
Taruna-8395,3.25,3.89
Taruna-8396,3.72,3.88
Taruna-8397,3.38,3.69
Taruna-8398,3.45,3.84
Taruna-8399,3.83,3.58
Taruna-8400,3.3,3.71
Taruna-8401,3.92,3.85
Taruna-8402,3.8,3.72
Taruna-8403,3.52,3.76
Taruna-8404,3.35,3.71
Taruna-8405,3.74,3.87
Taruna-8406,3.88,3.68
Taruna-8407,3.53,3.85
Taruna-8408,3.41,3.71
Taruna-8409,3.78,3.69
Taruna-8410,3.65,3.92
Taruna-8411,3.34,3.82
Taruna-8412,3.26,3.57
Taruna-8413,3.69,3.96
Taruna-8414,3.69,4.0
Taruna-8415,3.9,3.53
Taruna-8416,3.64,3.93
Taruna-8417,3.72,3.54
Taruna-8418,3.47,3.75
Taruna-8419,3.68,3.61
Taruna-8420,3.73,3.71
Taruna-8421,3.51,3.98
Taruna-8422,3.96,3.78
Taruna-8423,3.68,3.93
Taruna-8424,3.66,3.89
Taruna-8425,3.71,3.67
Taruna-8426,3.69,3.78
Taruna-8427,3.36,3.89
Taruna-8428,3.33,3.53
Taruna-8429,3.27,3.92
Taruna-8430,3.43,3.62
Taruna-8431,3.99,3.71
Taruna-8432,3.84,3.66
Taruna-8433,3.22,3.96
Taruna-8434,3.9,3.86
Taruna-8435,3.83,3.76
Taruna-8436,3.66,3.75
Taruna-8437,3.87,3.71
Taruna-8438,3.91,3.54
Taruna-8439,3.76,3.65
Taruna-8440,3.87,3.6
Taruna-8441,3.26,3.51
Taruna-8442,3.34,3.78
Taruna-8443,3.83,3.8
Taruna-8444,3.38,3.98
Taruna-8445,3.52,3.54
Taruna-8446,3.82,3.7
Taruna-8447,3.91,3.89
Taruna-8448,3.67,3.54
Taruna-8449,3.89,3.71
Taruna-8450,3.44,3.52
Taruna-8451,3.64,3.64
Taruna-8452,3.86,3.77
Taruna-8453,3.34,3.96
Taruna-8454,3.92,3.63
Taruna-8455,3.48,3.63
Taruna-8456,3.36,3.87
Taruna-8457,3.45,3.85
Taruna-8458,3.2,3.59
Taruna-8459,4.0,3.71
Taruna-8460,3.43,3.83
Taruna-8461,3.51,3.66
Taruna-8462,3.55,3.58
Taruna-8463,3.42,3.75
Taruna-8464,3.54,3.94
Taruna-8465,3.71,3.98
Taruna-8466,3.53,3.87
Taruna-8467,3.75,3.84
Taruna-8468,3.41,3.61
Taruna-8469,3.38,3.77
Taruna-8470,3.84,3.8
Taruna-8471,3.93,3.64
Taruna-8472,3.78,3.88
Taruna-8473,3.98,3.7
Taruna-8474,3.47,3.64
Taruna-8475,3.43,3.51
Taruna-8476,3.25,3.85
Taruna-8477,3.28,3.88
Taruna-8478,3.5,3.79
Taruna-8479,3.89,3.53
Taruna-8480,3.94,3.54
Taruna-8481,3.77,3.61
Taruna-8482,3.63,3.99
Taruna-8483,3.77,3.78
Taruna-8484,3.31,3.52
Taruna-8485,3.34,3.99
Taruna-8486,3.65,3.56
Taruna-8487,3.53,3.77
Taruna-8488,3.95,3.54
Taruna-8489,3.79,3.81
Taruna-8490,3.94,3.58
Taruna-8491,3.77,3.6
Taruna-8492,3.85,3.87
Taruna-8493,3.75,3.76
Taruna-8494,3.43,3.51
Taruna-8495,3.9,3.65
Taruna-8496,3.76,3.5
Taruna-8497,3.69,3.67
Taruna-8498,3.23,3.9
Taruna-8499,3.92,3.76
Taruna-8500,3.64,3.7
Taruna-8501,3.82,3.8
Taruna-8502,3.86,3.9
Taruna-8503,3.79,3.76
Taruna-8504,3.66,3.51
Taruna-8505,3.3,3.73
Taruna-8506,3.35,3.8
Taruna-8507,3.37,3.98
Taruna-8508,3.34,3.94
Taruna-8509,3.52,3.56
Taruna-8510,3.83,3.85
Taruna-8511,3.53,3.66
Taruna-8512,3.33,3.5
Taruna-8513,3.89,3.83
Taruna-8514,3.5,3.71
Taruna-8515,3.59,3.53
Taruna-8516,3.23,3.82
Taruna-8517,3.56,3.9
Taruna-8518,3.64,3.56
Taruna-8519,3.65,3.73
Taruna-8520,3.61,3.69
Taruna-8521,3.26,3.64
Taruna-8522,3.4,3.57
Taruna-8523,3.83,3.88
Taruna-8524,3.29,3.58
Taruna-8525,3.43,3.86
Taruna-8526,3.75,3.62
Taruna-8527,3.2,3.64
Taruna-8528,3.54,3.74
Taruna-8529,3.44,3.67
Taruna-8530,3.37,3.73
Taruna-8531,3.74,3.94
Taruna-8532,3.51,3.72
Taruna-8533,3.55,3.88
Taruna-8534,3.41,3.55
Taruna-8535,3.43,3.86
Taruna-8536,3.84,3.53
Taruna-8537,3.69,3.92
Taruna-8538,3.27,3.63
Taruna-8539,3.77,3.95
Taruna-8540,3.88,4.0
Taruna-8541,3.43,3.63
Taruna-8542,3.92,3.75
Taruna-8543,3.31,3.86
Taruna-8544,3.33,3.74
Taruna-8545,3.41,3.69
Taruna-8546,3.95,3.87
Taruna-8547,3.8,3.96
Taruna-8548,3.8,3.6
Taruna-8549,3.46,3.62
Taruna-8550,3.6,3.63
Taruna-8551,3.53,3.54
Taruna-8552,3.9,3.87
Taruna-8553,3.52,3.73
Taruna-8554,3.92,3.87
Taruna-8555,3.86,3.97
Taruna-8556,3.59,3.67
Taruna-8557,3.83,3.83
Taruna-8558,3.99,3.66
Taruna-8559,3.21,3.66
Taruna-8560,3.36,3.89
Taruna-8561,3.85,3.9
Taruna-8562,3.98,3.93
Taruna-8563,3.87,3.79
Taruna-8564,3.36,3.57
Taruna-8565,3.3,3.93
Taruna-8566,3.85,3.89
Taruna-8567,3.45,3.92
Taruna-8568,3.94,3.51
Taruna-8569,3.39,3.94
Taruna-8570,3.27,3.72
Taruna-8571,3.63,3.78
Taruna-8572,3.69,3.7
Taruna-8573,3.86,3.88
Taruna-8574,3.28,3.51
Taruna-8575,3.83,3.53
Taruna-8576,3.81,3.66
Taruna-8577,3.73,3.56
Taruna-8578,3.7,3.78
Taruna-8579,3.39,3.77
Taruna-8580,3.77,3.91
Taruna-8581,3.67,3.75
Taruna-8582,3.89,3.92
Taruna-8583,3.5,3.65
Taruna-8584,3.26,3.61
Taruna-8585,3.51,3.84
Taruna-8586,3.89,3.6
Taruna-8587,3.41,3.54
Taruna-8588,3.92,3.67
Taruna-8589,3.97,3.71
Taruna-8590,3.27,3.86
Taruna-8591,3.22,3.94
Taruna-8592,3.34,3.9
Taruna-8593,3.63,3.88
Taruna-8594,3.35,3.78
Taruna-8595,3.87,3.59
Taruna-8596,3.68,3.85
Taruna-8597,3.86,3.62
Taruna-8598,3.35,3.63
Taruna-8599,3.9,3.66
Taruna-8600,3.25,3.51
Taruna-8601,3.46,3.89
Taruna-8602,3.96,3.84
Taruna-8603,3.51,3.83
Taruna-8604,3.21,3.8
Taruna-8605,3.44,3.75
Taruna-8606,3.8,3.54
Taruna-8607,3.87,3.74
Taruna-8608,3.9,3.63
Taruna-8609,3.64,3.59
Taruna-8610,3.85,3.63
Taruna-8611,3.65,3.64
Taruna-8612,3.41,3.59
Taruna-8613,3.47,3.97
Taruna-8614,3.5,3.78
Taruna-8615,3.3,3.71
Taruna-8616,3.82,3.59
Taruna-8617,3.88,3.93
Taruna-8618,3.72,3.82
Taruna-8619,3.32,3.71
Taruna-8620,3.7,3.92
Taruna-8621,3.21,3.7
Taruna-8622,3.23,3.51
Taruna-8623,3.67,3.5
Taruna-8624,3.65,3.84
Taruna-8625,3.38,3.65
Taruna-8626,3.94,3.98
Taruna-8627,3.37,3.86
Taruna-8628,3.97,3.99
Taruna-8629,3.71,3.72
Taruna-8630,3.6,3.61
Taruna-8631,3.44,3.81
Taruna-8632,3.89,3.79
Taruna-8633,3.4,3.62
Taruna-8634,3.42,3.82
Taruna-8635,3.43,3.93
Taruna-8636,3.37,3.72
Taruna-8637,3.99,3.64
Taruna-8638,3.23,3.65
Taruna-8639,3.97,3.9
Taruna-8640,3.4,3.77
Taruna-8641,3.76,3.59
Taruna-8642,3.84,3.8
Taruna-8643,3.57,3.88
Taruna-8644,3.59,3.65
Taruna-8645,3.93,3.72
Taruna-8646,3.6,3.65
Taruna-8647,3.39,3.62
Taruna-8648,3.84,3.98
Taruna-8649,3.33,3.76
Taruna-8650,3.91,3.79
Taruna-8651,3.45,3.92
Taruna-8652,3.65,3.85
Taruna-8653,3.41,3.56
Taruna-8654,3.58,3.81
Taruna-8655,3.64,3.64
Taruna-8656,3.64,3.5
Taruna-8657,3.48,3.54
Taruna-8658,3.87,3.5
Taruna-8659,3.76,3.77
Taruna-8660,3.95,3.73
Taruna-8661,3.98,3.88
Taruna-8662,3.4,3.7
Taruna-8663,3.42,3.83
Taruna-8664,3.33,3.59
Taruna-8665,3.4,3.6
Taruna-8666,3.65,3.79
Taruna-8667,3.35,3.53
Taruna-8668,3.2,3.62
Taruna-8669,3.92,4.0
Taruna-8670,3.69,3.62
Taruna-8671,3.55,3.59
Taruna-8672,3.29,3.51
Taruna-8673,3.86,3.9
Taruna-8674,3.47,3.95
Taruna-8675,3.34,3.6
Taruna-8676,3.27,3.55
Taruna-8677,3.51,3.69
Taruna-8678,3.25,3.78
Taruna-8679,3.72,3.91
Taruna-8680,3.39,3.5
Taruna-8681,3.25,3.83
Taruna-8682,3.82,3.69
Taruna-8683,3.31,3.86
Taruna-8684,3.77,3.8
Taruna-8685,3.36,3.6
Taruna-8686,3.84,3.95
Taruna-8687,3.57,3.9
Taruna-8688,3.86,3.85
Taruna-8689,3.55,3.98
Taruna-8690,3.64,3.62
Taruna-8691,3.59,3.75
Taruna-8692,3.87,3.62
Taruna-8693,3.73,3.5
Taruna-8694,3.96,3.98
Taruna-8695,3.26,3.7
Taruna-8696,3.97,3.81
Taruna-8697,3.37,3.93
Taruna-8698,3.77,3.92
Taruna-8699,3.26,3.64
Taruna-8700,3.51,3.95
Taruna-8701,3.81,3.82
Taruna-8702,3.71,3.72
Taruna-8703,3.35,3.59
Taruna-8704,3.57,3.92
Taruna-8705,3.68,3.67
Taruna-8706,3.84,3.77
Taruna-8707,3.96,3.61
Taruna-8708,3.31,3.97
Taruna-8709,3.52,3.67
Taruna-8710,3.96,3.68
Taruna-8711,3.65,3.74
Taruna-8712,3.81,3.81
Taruna-8713,3.69,3.95
Taruna-8714,3.9,3.85
Taruna-8715,3.4,3.66
Taruna-8716,3.41,3.93
Taruna-8717,3.69,3.87
Taruna-8718,3.34,3.79
Taruna-8719,3.93,3.76
Taruna-8720,3.62,3.88
Taruna-8721,3.29,3.53
Taruna-8722,3.35,3.78
Taruna-8723,3.83,3.84
Taruna-8724,3.44,3.75
Taruna-8725,3.2,3.93
Taruna-8726,3.46,3.56
Taruna-8727,3.51,3.53
Taruna-8728,3.96,3.63
Taruna-8729,3.41,3.9
Taruna-8730,3.35,3.88
Taruna-8731,3.32,3.91
Taruna-8732,3.8,3.67
Taruna-8733,3.54,3.67
Taruna-8734,3.77,3.6
Taruna-8735,3.52,3.92
Taruna-8736,3.78,3.98
Taruna-8737,3.27,3.92
Taruna-8738,3.39,3.78
Taruna-8739,3.64,3.81
Taruna-8740,3.41,3.51
Taruna-8741,3.44,3.99
Taruna-8742,3.38,3.58
Taruna-8743,3.72,3.73
Taruna-8744,3.76,3.76
Taruna-8745,3.61,3.61
Taruna-8746,3.76,3.7
Taruna-8747,3.73,3.97
Taruna-8748,3.5,3.57
Taruna-8749,3.29,3.81
Taruna-8750,3.28,3.88
Taruna-8751,3.58,3.57
Taruna-8752,3.49,3.85
Taruna-8753,3.72,3.77
Taruna-8754,3.59,3.78
Taruna-8755,3.82,4.0
Taruna-8756,3.7,3.52
Taruna-8757,3.88,3.59
Taruna-8758,3.87,3.53
Taruna-8759,3.5,3.84
Taruna-8760,3.44,3.92
Taruna-8761,3.26,3.6
Taruna-8762,3.66,3.78
Taruna-8763,3.35,3.58
Taruna-8764,3.28,3.58
Taruna-8765,3.4,3.65
Taruna-8766,3.68,3.51
Taruna-8767,3.74,3.85
Taruna-8768,3.66,3.87
Taruna-8769,3.58,3.97
Taruna-8770,3.57,3.62
Taruna-8771,3.94,3.6
Taruna-8772,3.32,3.57
Taruna-8773,3.81,3.88
Taruna-8774,3.25,3.99
Taruna-8775,3.91,3.8
Taruna-8776,3.33,3.51
Taruna-8777,3.71,3.66
Taruna-8778,3.42,3.55
Taruna-8779,3.82,3.72
Taruna-8780,3.95,3.65
Taruna-8781,3.31,3.58
Taruna-8782,3.25,3.81
Taruna-8783,3.58,3.71
Taruna-8784,3.92,3.89
Taruna-8785,3.23,3.89
Taruna-8786,3.92,3.87
Taruna-8787,3.57,3.69
Taruna-8788,3.81,3.92
Taruna-8789,3.61,3.78
Taruna-8790,3.25,3.94
Taruna-8791,3.58,3.96
Taruna-8792,3.46,3.56
Taruna-8793,3.61,3.56
Taruna-8794,3.32,3.67
Taruna-8795,3.53,3.89
Taruna-8796,3.67,3.59
Taruna-8797,3.87,3.99
Taruna-8798,3.26,3.51
Taruna-8799,3.39,3.78
Taruna-8800,3.46,3.63
Taruna-8801,3.87,3.78
Taruna-8802,4.0,3.92
Taruna-8803,3.3,3.88
Taruna-8804,3.69,3.62
Taruna-8805,3.63,3.68
Taruna-8806,3.32,3.81
Taruna-8807,3.77,3.95
Taruna-8808,3.42,3.98
Taruna-8809,3.36,3.72
Taruna-8810,3.46,3.51
Taruna-8811,3.74,3.84
Taruna-8812,3.23,3.95
Taruna-8813,3.7,3.55
Taruna-8814,3.36,3.69
Taruna-8815,3.32,3.53
Taruna-8816,3.79,3.68
Taruna-8817,3.87,3.63
Taruna-8818,3.79,3.84
Taruna-8819,3.62,3.75
Taruna-8820,3.43,3.52
Taruna-8821,3.76,3.58
Taruna-8822,3.44,3.7
Taruna-8823,3.28,3.83
Taruna-8824,3.7,3.79
Taruna-8825,3.36,3.96
Taruna-8826,3.58,3.6
Taruna-8827,3.89,3.65
Taruna-8828,3.6,3.85
Taruna-8829,3.94,3.66
Taruna-8830,3.55,3.8
Taruna-8831,3.5,3.77
Taruna-8832,3.9,3.53
Taruna-8833,3.48,3.88
Taruna-8834,3.84,3.92
Taruna-8835,3.7,3.95
Taruna-8836,3.41,3.93
Taruna-8837,3.58,3.73
Taruna-8838,3.44,3.63
Taruna-8839,3.97,3.71
Taruna-8840,3.94,3.64
Taruna-8841,3.28,3.63
Taruna-8842,3.9,3.59
Taruna-8843,3.97,3.92
Taruna-8844,3.71,3.94
Taruna-8845,3.65,3.91
Taruna-8846,3.46,3.63
Taruna-8847,3.32,3.97
Taruna-8848,3.88,3.82
Taruna-8849,3.87,3.67
Taruna-8850,3.86,3.83
Taruna-8851,3.75,3.68
Taruna-8852,3.24,3.69
Taruna-8853,3.4,3.68
Taruna-8854,3.91,3.75
Taruna-8855,3.4,3.92
Taruna-8856,3.64,3.56
Taruna-8857,3.79,3.67
Taruna-8858,3.74,3.68
Taruna-8859,3.68,3.53
Taruna-8860,3.26,3.79
Taruna-8861,3.32,3.55
Taruna-8862,3.69,3.85
Taruna-8863,3.36,3.82
Taruna-8864,3.36,3.59
Taruna-8865,3.96,3.59
Taruna-8866,3.97,3.96
Taruna-8867,3.31,3.56
Taruna-8868,3.5,3.67
Taruna-8869,3.84,3.59
Taruna-8870,3.2,3.54
Taruna-8871,3.28,3.52
Taruna-8872,3.55,3.85
Taruna-8873,3.86,3.95
Taruna-8874,3.77,3.82
Taruna-8875,3.27,3.89
Taruna-8876,3.77,3.8
Taruna-8877,3.24,3.58
Taruna-8878,3.5,3.79
Taruna-8879,3.96,3.89
Taruna-8880,3.4,3.66
Taruna-8881,3.41,3.77
Taruna-8882,3.93,3.51
Taruna-8883,3.61,3.87
Taruna-8884,3.51,3.61
Taruna-8885,3.23,3.75
Taruna-8886,3.3,3.64
Taruna-8887,3.36,3.82
Taruna-8888,3.21,3.93
Taruna-8889,3.37,3.73
Taruna-8890,3.43,3.92
Taruna-8891,3.44,3.87
Taruna-8892,3.43,3.54
Taruna-8893,3.25,3.95
Taruna-8894,3.69,3.81
Taruna-8895,3.44,3.97
Taruna-8896,3.33,3.59
Taruna-8897,3.77,3.92
Taruna-8898,3.7,3.94
Taruna-8899,3.48,3.8
Taruna-8900,3.94,3.93
Taruna-8901,3.89,3.51
Taruna-8902,3.29,3.8
Taruna-8903,3.84,3.79
Taruna-8904,3.21,4.0
Taruna-8905,3.44,3.71
Taruna-8906,3.71,4.0
Taruna-8907,3.87,3.91
Taruna-8908,3.21,3.75
Taruna-8909,3.41,3.53
Taruna-8910,3.98,3.81
Taruna-8911,3.28,3.9
Taruna-8912,3.71,3.75
Taruna-8913,3.74,3.99
Taruna-8914,3.34,3.8
Taruna-8915,3.88,3.57
Taruna-8916,3.97,3.92
Taruna-8917,3.77,3.94
Taruna-8918,3.41,3.98
Taruna-8919,3.33,3.56
Taruna-8920,3.88,3.69
Taruna-8921,3.9,3.94
Taruna-8922,3.54,3.84
Taruna-8923,3.56,3.96
Taruna-8924,3.27,3.76
Taruna-8925,3.31,3.71
Taruna-8926,3.46,3.94
Taruna-8927,3.69,3.94
Taruna-8928,3.92,3.62
Taruna-8929,3.77,3.82
Taruna-8930,3.57,3.9
Taruna-8931,3.66,3.71
Taruna-8932,3.82,3.5
Taruna-8933,3.4,4.0
Taruna-8934,3.72,3.58
Taruna-8935,3.62,3.56
Taruna-8936,3.77,3.91
Taruna-8937,3.99,3.98
Taruna-8938,3.27,3.56
Taruna-8939,3.74,3.63
Taruna-8940,3.53,3.54
Taruna-8941,3.24,3.71
Taruna-8942,3.5,3.76
Taruna-8943,3.94,3.65
Taruna-8944,3.83,3.94
Taruna-8945,3.22,3.74
Taruna-8946,3.26,3.73
Taruna-8947,3.33,3.95
Taruna-8948,3.36,3.63
Taruna-8949,3.99,3.92
Taruna-8950,3.62,3.91
Taruna-8951,3.93,3.91
Taruna-8952,3.82,3.83
Taruna-8953,3.9,3.84
Taruna-8954,3.58,3.59
Taruna-8955,3.77,3.78
Taruna-8956,3.4,3.65
Taruna-8957,3.6,3.98
Taruna-8958,3.83,3.91
Taruna-8959,3.97,3.57
Taruna-8960,3.42,3.94
Taruna-8961,3.94,3.65
Taruna-8962,3.39,3.54
Taruna-8963,3.24,3.92
Taruna-8964,3.65,3.85
Taruna-8965,3.23,3.52
Taruna-8966,3.59,3.85
Taruna-8967,3.55,3.95
Taruna-8968,3.98,3.68
Taruna-8969,3.5,3.79
Taruna-8970,3.8,3.79
Taruna-8971,3.43,3.92
Taruna-8972,3.26,3.77
Taruna-8973,3.95,3.54
